древовидная структура|tree structure|пушеҥге сынан чоҥалтмаш
дробная черта|division line|дробь кореш
дробные числа|fractional numbers|дробан числа
дробь (матем.), часть (общ.)|fraction|дробь (матем.), ужаш (общ.)
друг другу, друг с другом и т.п.|Each other|икте-весылан, икте-весе ден да т.м.
Другие места|Other Places|вес вер-влак
Другие подробности|More Details|вес лончык-влак
Другое|Other|весе
дубликат|Duplicate|дубликат
дуга|arc|пӱгӧ
единица|unit|кугыт
единица измерения|unit of measurement|висыме кугыт
ежедневно|Daily|кече еда
еженедельно|Weekly|арня еда
видимый|visual|койшо
ждать, ожидать|Wait|вучаш
Ждущий режим|Stand by|вучымо режим
жесткий диск|fixed disk|пеҥгыде диск
жирный|Bold|кӱжгӧ
Журнал|history|журнал
журнал|journal|журнал
журнал|log|журнал
журнал ошибок|error log|йоҥылышлан журнал
Завершение работы|Shut Down|пашам мучашлымаш
Завершение работы|shutdown|пашам мучашлымаш
Завершение сеанса|Log Off|сеансым мучашлымаш
Заголовок|caption|вуймут
заголовок|heading|вуймут
Заголовок|title text|вуймут
Заголовок (используется в интерфейсе Windows)|by Title|вуймут
заголовок меню|menu title|меню вуймут
заголовок окна|dialog box title|окна вуймут
заголовок окна|title bar|окна вуймут
заголовок окна|window title|окна вуймут
заголовок сообщения|message header|серыш вуймут
заголовок столбца|column heading|турарадам вуймут
Загрузите бесплатно!|Free Stuff|яра пуртыза!
загрузить|boot|пышташ
загрузить|Download|пышташ
загрузить|load|пышташ
загрузить|upload|пышташ
загрузочный диск|boot disk|пуртымо диск
загрузочный диск|boot drive|пуртымо диск
Задание|Job|шӱдымаш
задание печати|print job|савыкташ шӱдымаш
задача|Task|сомыл
задачи|Tasks|сомыл-влак
Задачи для файлов и папок|File and Folder Tasks|файл ден папкылан сомыл-влак
Задержка|Delay|кучалтмаш
зазор|Gap|ло
закладка|bookmark|пыштыме пале
заключить|enclose|пеленлаш
закрепить|dock|чоткыдемдаш
закрепить, заморозить|freeze|чарен шогалташ
закрепленная панель инструментов|docked toolbar|келыштарыме ӱзгар оҥа
закрытие|Closing|петырымаш
закрыть|Close|петыраш
Закрыть|Close Find|петыраш
закрыть все|Close All|чыла петыраш
заливка|fill|чиялтымаш
Заливка|Shading|чиялтымаш
заменить|overtype|алмашташ
заменить|replace|алмашташ
заменить все|Change All|чыла алмашташ
Заметка|Note|пале
заметки о выпуске|release notes|лукмо пале
замещающий текст|alternative text|алмаштыше текст
замкнутая ссылка|loop|оҥго ссылке
замостить|Tile|кӱварлаш
занят|busy|ок ярсе
записать|record|возаш
Записки|memo|изи серыш
записывать|write|возаш
запись журнала|journal entry|журналым возымаш
запланировать|schedule|ончыклаш
Заполненный эллипс|Filled Ellipse|темыме эллипс
руководитель|leader|вуйлатыше
заполнитель|placeholder|темыш
запрос|query|йодмаш
запуск, загрузка|Startup|колтымаш
запускать|launch|колташ
запускать|start|колташ
запустить|originate|колташ
запустить|run|колташ
запустить|Run|колташ
запятая|comma|запятой
заранее определенный|predefined|ончылгоч палемдыме
зарегистрированный пользователь|registered user|возалтше пайдаланыше
зарегистрированный товарный знак|registered trademark|пеҥгыдемдыме сату тамга
зарегистрировать|register|возыкташ
застревание бумаги|paper jam|кагаз пижмаш
застряла (бумага)|jammed|(кагаз) пижын
затем по|Then by|вараже
затемнять|Dim|ӱмылаҥдаш
зачеркнутый, вычеркнутый|Strikeout|удырал кудалтыме
зачеркнутый|strikethrough|удыралме
Защита|Protection|аралтыш
защита от вирусов|virus protection|вирус деч аралтыш
защита паролем, парольная защита|password protection|шолыпмутан аралтыш
защитить|protect|аралаш
защищен от записи|write-protected|возымаш деч аралыме
заявление об отказе|disclaimer|шӧрымашан вашмут
звездочка|asterisk|шӱдыр
звонок, вызов|call|йыҥгыр, ÿжыктымаш
звук|Sound|йӱк
звук|sound clip|йӱк
звуковая плата|sound card|йӱк карте
звуковой сигнал|beep|шижтарыше йӱк
зеленый|Green|ужарге
зимнее время|standard time|теле жап
"знак ""@"""|at sign|"""@"" тамга"
"знак ""больше или равно"""|greater-than sign|"""шукырак але лач"" тамга"
"знак ""меньше"""|less-than sign|"""шагалрак"" тамга"
знак абзаца|paragraph mark|у корно тамга
знак авторского права|copyright symbol|автор права тамга
знак градуса|degree symbol|градус тамга
знак доллара|dollar sign|доллар тамга
знак конца раздела|section symbol|ужаш мучаш тамга
знак крышки|caret|петыртыш тамга
Знак ''минус''|minus sign|"""кудалтымаш"" тамга"
Знак номера|number sign|номер тамга
"знак ""плюс"""|plus sign|"""ушымаш"" тамга"
знак процента|percent sign|процент тамга
знак равенства|Equal Sign|иктӧрлык тамга
знак табуляции|Tab Character|табуляций тамга
знак, символ|character|тамга, тиште
показать значение|Show value|ыҥым ончыкташ
значение|Value|ыҥ
значение [по оси] X, значение по горизонтали|X Value|X -ын ыҥже, торешын ыҥже
значение [по оси] Y, значение по вертикали|Y Value|Y-ын ыҥже, туран ыҥже
значение по умолчанию|default value|пеҥгыдемдыме семын ыҥ
значение поля|field value|алан ыҥ
значение столбца|Column Value|турарадамын ыҥже
значок|icon|тамга
значок диска|disk icon|диск тамга
значок диска|drive icon|диск тамга
значок документа|document icon|документ тамга
значок кнопки|button icon|кнопко тамга
значок папки|folder icon|папке тамга
значок программы|program icon|программе тамга
значок ярлыка|shortcut icon|сын тамга
зона|Zone|авырыме вер
ИВТ|OEM manufacturer|ИВТ
игра|game|модыш
идентификатор|ID|идентификатор
идентификатор|identifier|идентификатор
Из документа|Link to Content|документ гыч
Из файла|From File|файл гыч
избранное|favorite|ойырен налме
извлечение|check out|лукмаш
извлечение|Check-out|лукмаш
извлечь|Extract|лукташ
извлечь|retrieve|лукташ
Изменен (используется в интерфейсе Windows)|By Modified|вашталтыме
Изменено|Last Modified|вашталтыме
изменить|alter|вашталташ
Изменить|modify|вашталташ
Изменить гиперссылку, Изменение гиперссылки|Edit Hyperlink|гиперссылкым вашталташ
Изменить правила доверия|Edit Trust|ӱшан правилым вашталташ
изменить размер|resize|кугытым вашталташ
Изменить ряд|Edit Series|радамым вашталташ
Изменить текст|Edit Text|текстым вашталташ
изменить, заменить|Change|вашталташ, алмашташ
изменяемого размера|sizable|вашталтыме кугытын
измерение, величина, размер|measurement|висымаш, кугыт
измерять|measure|висаш
изолированный, отдельный|standalone|посна ойырымо
Изменить рисунок, Изменение рисунка|Edit Picture|сӱретым вашталташ, сӱретым вашталтымаш
импорт|import|импорт
Импорт данных|Import Data|уверым пуртымаш
Импортирован|Imported|пуртымо
Импортирование из|Import from|гыч пуртымаш
Имя|First Name|лӱм
Имя|Name box|лӱм
Имя|Named|лӱм
имя|Personal Name|лӱм
По имени (используется в интерфейсе Windows)|by Name|лӱм дене
имя общего ресурса, тж. сетевое имя|Share name|вот лӱм
Имя отправителя|Sender Name|колтышын лӱмжӧ
имя папки|Folder Name|папке лӱм
имя пользователя|User name|пайдаланышын лӱмжӧ
имя поля|field name|алан лӱм
Имя ряда|Series name|радам лӱм
имя файла|File name|файл лӱм
имя файла|Filename|файл лӱм
имя формы|Form name|формо лӱм
индикатор|indicator|индикатор
Индикатор хода выполнения|progress indicator|шуктымо радам индикатор
инициализировать|initialize|инициалым пуаш
Инициалы|Initials|инициал
инструкция|instruction|инструкций
интерактивный|interactive|вашкылан
Интернет|Internet|интернет
Интернет|World Wide Web|интернет
интерфейс|interface|интерфейс
интрасеть|intranet|интравот
инфракрасный|infrared|инфрайошкар(ге)
искать|look up|кычалаш
исключение|Exception|поснаҥдыш
исполняемый файл|executable program|шуктен шогымо файл
использовать по умолчанию|use as default|пеҥгыдемдыме семын кучылташ
использовать цифровую подпись|digitally sign|цифран кидпалым кучылташ
Исправить|repair|тӧрлаташ
исправление|Correction|тӧрлатымаш
исправление|patch|тӧрлатымаш
исправление|tracked change|тӧрлатымаш
Исправления|track changes|тӧрлатымаш-влак
истинный размер, фактический размер|Actual Size|шкенжын кугытшо, чын кугытшо
Показать исходный код|View Source|Тӱҥалтыш верым ончыкташ
источник бумаги|Paper Source|кагаз вер
источник данных|data source|пого вер
источник записей|record source|возымаш вер
источник; исходное; В виде HTML|Source|тӱҥалтыш
исходные данные|source data|тӱҥалтыш данный
Исходный|original|тӱҥалтыш
исходный программный код|source code|тӱҥалтыш программе код
исходный файл|source file|тӱҥалтыш файл
исходящее сообщение|outgoing message|колтымо серыш
Исходящие|outbox|колтымо 
итерация, цикл|iteration|итераций, цикл
К исполнению|Follow Up|шукташлан
кавычка|quotation mark|кавычке
"кавычка ""елочка"""|chevron|"""кож"" кавычке"
"кавычки ""лапки"""|curly quotes|" ""чапа"" кавычке"
каждый|Every |кажне
календарь|Calendar|кечышот
Календарь|Calendar type|кечышот сынан
калькулятор|Calculator|калькулятор
камера|Camera|камер
карниз|marquee|карниз
картинки|clip art|сӱрет-влак
катакана|Katakana|катакана
каталог|Catalog|каталог
каталог, справочник|directory|полшык
категория|category|категорий
качество изображения текста|readability|текст сӱретын сайлыкше
КБ|KB|КБ
квадратные скобки|brackets|квадрат скобко
квадратные скобки|square brackets|квадрат скобко
кернинг|kerning|кернинг
клавиатура|Keyboard|полдышоҥа
клавиша ALT|ALT key|ALT полдыш
клавиша BACKSPACE|BACKSPACE key|BACKSPACE полдыш
клавиша BREAK|BREAK key|BREAK полдыш
клавиша CAPS LOCK|CAPS LOCK key|CAPS LOCK полдыш
клавиша CTRL|CTRL key|CTRL полдыш
клавиша DEL|DEL key|DEL полдыш
клавиша END|END key|END полдыш
клавиша ESC|ESC key|ESC полдыш
клавиша HOME|HOME key|HOME полдыш
клавиша INSERT|INSERT key|INSERT полдыш
клавиша NUM LOCK|NUM LOCK key|NUM LOCK полдыш
клавиша PAGE DOWN|PAGE DOWN key|PAGE DOWN полдыш
клавиша PAGE UP|PAGE UP key|PAGE UP полдыш
клавиша PAUSE|PAUSE key|PAUSE полдыш
клавиша PRINT SCREEN|PRINT SCRN key|PRINT SCREEN полдыш
клавиша SCROLL LOCK|SCROLL LOCK key|SCROLL LOCK полдыш
клавиша SHIFT|SHIFT key|SHIFT полдыш
клавиша TAB|TAB key|TAB полдыш
клавиша быстрого вызова|accelerator key|вашке ӱжмӧ полдыш
клавиша быстрого доступа|hotkey|вашке полдыш
клавиша ENTER|ENTER key|ENTER полдыш
клавиша доступа|access key|пуртык полдыш
клавиши Ctrl, Shift и Alt|modifier key|Ctrl, Shift да Alt полдыш-влак
клавиши со стрелками|arrow keys|умдан полдыш
клавиши со стрелками|cursor keys|умдан полдыш
